Заправки,период,Объем реализации - собственный,бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,Выручка от реализации - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Налоги в выручке - НДС,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Выручка без налогов и бонусов,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Покупная стоимость - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Валовой доход - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары
АЗК-26,012017,168.9,110.8,42.3,66.9,1.7,58.1,58.1,8791,8003,5486,1984,3403,98,2517,2517,789,1335,1221,837,303,519,15,384,384,114,7456,6782,4649,1681,2884,83,2133,2133,674,6257,5739,3824,1401,2353,70,1915,1915,519,1199,1043,825,281,531,14,218,218,156
АЗК-27,012017,274.1,175.0,57.8,115.3,1.9,99.1,99.1,13354,12771,8534,2671,5750,112,4237,4237,583,2036,1948,1302,408,877,17,646,646,88,11318,10823,7232,2264,4873,95,3591,3591,496,9725,9338,6052,1920,4053,80,3286,3286,388,1593,1485,1180,344,820,15,305,305,108
АЗК-28,012017,196.5,114.0,45.4,66.5,2.2,82.4,82.4,10018,9083,5557,2094,3336,127,3526,3526,935,1524,1386,848,319,509,19,538,538,138,8494,7697,4709,1774,2827,108,2988,2988,796,7301,6652,3931,1508,2333,91,2721,2721,648,1193,1045,778,266,494,17,267,267,148
АЗК-29,012017,96.2,45.2,19.1,25.5,0.0,50.9,50.9,4754,4377,2193,882,1285,,2184,2184,377,723,668,335,135,196,,333,333,56,4031,3710,1859,748,1089,,1851,1851,321,3463,3220,1548,632,896,,1672,1672,244,567,490,311,115,193,,179,179,77
АЗК-3,012017,957.4,636.9,205.4,421.7,6.1,320.5,320.5,45891,44733,31126,9513,21084,360,13607,13607,1158,6996,6824,4748,1451,3216,55,2076,2076,173,38895,37909,26378,8062,17868,305,11531,11531,986,33462,32725,22085,6849,14860,256,10640,10640,736,5433,5184,4293,1213,3008,49,891,891,250
АЗК-30,012017,233.5,143.1,52.1,89.1,1.9,90.4,90.4,11617,10974,7078,2429,4534,114,3896,3896,643,1770,1674,1080,371,692,17,594,594,96,9847,9299,5998,2059,3842,97,3301,3301,548,8357,7918,4937,1726,3130,81,2981,2981,439,1490,1381,1061,333,712,16,320,320,109
АЗК-31,012017,169.4,130.8,42.0,86.6,2.2,38.6,38.6,8566,8132,6444,1941,4375,127,1688,1688,435,1305,1240,983,296,667,19,257,257,65,7261,6891,5461,1645,3707,108,1430,1430,370,6084,5794,4527,1391,3045,91,1267,1267,290,1177,1098,934,254,663,17,164,164,80
АЗК-32,012017,153.3,99.3,53.1,46.2,0.0,53.9,53.9,7987,7127,4773,2453,2320,,2354,2354,860,1214,1087,728,374,354,,359,359,127,6773,6040,4045,2079,1966,,1995,1995,733,5681,5167,3390,1767,1623,,1777,1777,514,1092,873,655,312,343,,218,218,219
АЗК-33,012017,99.8,46.3,29.5,16.8,0.0,53.5,53.5,4860,4537,2211,1359,852,,2326,2326,323,739,692,337,207,130,,355,355,47,4122,3845,1874,1152,722,,1971,1971,277,3524,3317,1565,975,590,,1752,1752,207,597,528,309,176,133,,219,219,69
АЗК-4,012017,689.1,374.1,131.9,231.6,6.9,315.1,315.1,33162,31918,18521,6189,11760,408,13397,13397,1244,5053,4869,2825,944,1794,62,2044,2044,185,28108,27050,15696,5245,9966,346,11354,11354,1059,24203,23373,12939,4378,8152,290,10434,10434,831,3905,3677,2757,866,1814,56,920,920,229
АЗК-6,012017,177.3,47.6,21.0,26.2,0.4,129.7,129.7,8157,7781,2321,976,1323,23,5460,5460,376,1243,1187,354,149,202,4,833,833,56,6914,6594,1967,827,1121,20,4627,4627,320,6185,5923,1626,690,920,17,4297,4297,262,729,671,341,137,201,3,330,330,59
АЗК-7,012017,649.9,512.8,186.0,318.0,8.8,137.1,137.1,32607,30984,25007,8624,15863,521,5977,5977,1623,4970,4727,3815,1315,2420,79,912,912,244,27637,26257,21192,7308,13443,441,5065,5065,1379,23426,22305,17759,6183,11205,371,4546,4546,1121,4211,3952,3433,1125,2238,70,519,519,258
АЗК-8,012017,471.3,391.1,101.0,279.3,8.8,80.2,80.2,23636,22961,19472,4741,14115,522,3489,3489,675,3604,3502,2970,723,2153,80,532,532,101,20032,19459,16502,4017,11962,442,2957,2957,573,16712,16261,13631,3359,9834,371,2630,2630,450,3320,3196,2870,658,2128,71,326,326,123
АЗК-9,012017,308.7,226.8,94.9,126.4,3.7,81.9,81.9,15448,14746,11155,4411,6443,219,3591,3591,701,2354,2250,1702,673,983,33,548,548,105,13094,12498,9454,3738,5460,186,3044,3044,596,10978,10512,7821,3156,4451,155,2691,2691,467,2115,1986,1633,583,1010,31,353,353,129
АЗС-201,012017,155.7,129.2,56.8,70.9,0.0,26.5,26.5,7792,7483,6300,2638,3595,,1183,1183,309,1188,1141,961,402,548,,180,180,46,6604,6342,5339,2236,3047,,1003,1003,263,5515,5304,4438,1893,2498,,866,866,211,1089,1037,900,343,549,,137,137,51
АЗС-21,012017,278.0,208.8,84.3,124.5,0.0,69.2,69.2,13818,13200,10217,3935,6282,,2983,2983,617,2107,2013,1558,600,958,,455,455,93,11710,11186,8658,3335,5323,,2528,2528,524,9930,9488,7190,2806,4384,,2298,2298,442,1780,1699,1469,529,939,,230,230,82
АЗС-212,012017,282.3,172.9,81.4,87.7,1.1,109.4,109.4,14098,13031,8301,3760,4351,68,4730,4730,1067,2143,1988,1266,574,664,10,722,722,155,11955,11044,7035,3187,3687,57,4009,4009,912,10236,9539,5923,2703,3084,48,3616,3616,696,1720,1504,1112,483,603,9,392,392,216
АЗС-213,012017,312.3,210.7,110.8,98.2,1.7,101.6,101.6,14894,14428,10103,5069,4934,101,4325,4325,466,2271,2201,1541,773,753,15,660,660,70,12623,12227,8562,4295,4181,85,3665,3665,396,10913,10583,7222,3690,3461,71,3361,3361,329,1710,1643,1339,605,720,14,304,304,67
АЗС-214,012017,447.0,286.8,163.3,119.5,0.0,160.2,160.2,21254,20577,13660,7456,6016,,6917,6917,678,3240,3139,2084,1137,918,,1055,1055,102,18014,17437,11576,6318,5098,,5861,5861,576,15599,15127,9788,5445,4210,,5339,5339,472,2415,2310,1787,874,889,,523,523,104
АЗС-217,012017,300.2,191.9,95.4,90.3,0.0,108.4,108.4,14982,14102,9319,4450,4583,,4783,4783,880,2281,2151,1421,679,699,,730,730,130,12701,11950,7897,3772,3884,,4053,4053,750,10747,10163,6563,3179,3180,,3600,3600,583,1954,1787,1334,592,704,,453,453,167
АЗС-219,012017,278.4,154.1,99.7,49.5,0.0,124.3,124.3,13028,12683,7310,4599,2485,,5373,5373,346,1987,1935,1115,702,379,,820,820,52,11042,10748,6195,3897,2106,,4553,4553,294,9608,9362,5225,3321,1740,,4137,4137,246,1434,1385,969,576,366,,416,416,49
АЗС-220,012017,296.8,170.7,104.1,62.8,0.0,126.2,126.2,14071,13633,8169,4830,3169,,5464,5464,437,2145,2080,1246,737,483,,834,834,65,11926,11554,6923,4093,2686,,4631,4631,372,10302,9995,5807,3472,2213,,4188,4188,307,1624,1559,1116,622,473,,443,443,66
АЗС-221,012017,115.0,46.7,34.6,6.2,0.0,68.3,68.3,5106,5093,2166,1588,312,,2927,2927,12,779,777,330,242,48,,447,447,2,4327,4317,1836,1346,265,,2481,2481,11,3811,3803,1559,1147,218,,2244,2244,8,516,514,277,198,47,,237,237,3
АЗС-222,012017,143.6,96.4,62.8,33.7,0.0,47.1,47.1,6887,6642,4614,2916,1698,,2028,2028,245,1050,1013,704,445,259,,309,309,37,5837,5629,3910,2471,1439,,1719,1719,208,4980,4811,3265,2081,1184,,1546,1546,169,857,818,646,390,256,,172,172,39
АЗС-223,012017,195.1,134.3,84.8,48.9,0.5,60.8,60.8,9445,9019,6414,3907,2475,31,2605,2605,427,1440,1375,978,596,378,5,397,397,64,8005,7643,5435,3311,2097,27,2208,2208,363,6867,6571,4568,2826,1719,23,2003,2003,296,1138,1071,867,485,378,4,204,204,66
АЗС-224,012017,176.7,134.2,74.1,49.7,0.6,42.4,42.4,8516,8217,6386,3420,2487,37,1831,1831,299,1297,1253,974,522,379,6,279,279,44,7219,6963,5412,2899,2107,31,1551,1551,255,6148,5948,4566,2468,1748,26,1382,1382,200,1071,1016,846,431,359,5,170,170,56
АЗС-225,012017,52.3,44.4,35.0,9.4,0.0,7.9,7.9,2496,2429,2088,1616,471,,341,341,68,381,370,318,247,72,,52,52,10,2115,2058,1769,1370,399,,289,289,57,1795,1748,1493,1163,329,,255,255,47,320,310,276,206,70,,34,34,10
АЗС-227,012017,388.1,292.5,173.2,111.2,0.9,95.7,95.7,18838,18076,13960,7966,5612,56,4116,4116,762,2871,2758,2130,1215,856,9,628,628,113,15968,15319,11831,6751,4756,48,3488,3488,649,13664,13148,9971,5777,3919,40,3177,3177,517,2303,2171,1860,973,837,8,311,311,132
АЗС-228,012017,322.7,116.2,71.4,44.8,0.0,206.5,206.5,14399,14375,5538,3281,2257,,8837,8837,25,2197,2193,845,500,344,,1348,1348,4,12203,12182,4693,2780,1913,,7489,7489,21,10812,10797,3953,2377,1576,,6844,6844,15,1390,1385,740,403,336,,645,645,6
АЗС-229,012017,127.5,108.2,69.8,31.2,0.0,19.3,19.3,6033,6015,5170,3244,1595,,845,845,18,920,918,789,495,243,,129,129,3,5113,5098,4382,2749,1352,,716,716,15,4303,4291,3663,2326,1098,,628,628,12,810,806,718,424,253,,88,88,4
АЗС-230,012017,431.8,270.7,149.7,117.8,0.0,161.1,161.1,21027,20195,13134,6975,6010,,7061,7061,831,3205,3080,2003,1064,917,,1077,1077,124,17822,17115,11131,5911,5093,,5984,5984,707,15141,14601,9249,4991,4150,,5352,5352,540,2681,2514,1882,920,943,,632,632,168
АЗС-231,012017,328.8,203.1,117.0,82.1,1.1,125.7,125.7,15873,15358,9839,5448,4194,64,5519,5519,515,2420,2343,1501,831,640,10,842,842,77,13453,13015,8338,4617,3554,54,4677,4677,438,11458,11111,6932,3898,2893,46,4179,4179,348,1995,1904,1406,719,662,8,498,498,90
АЗС-232,012017,153.5,98.7,47.8,35.7,0.0,54.8,54.8,7063,7063,4713,2218,1819,,2350,2350,0,1077,1077,719,338,278,,358,358,0,5985,5985,3994,1879,1542,,1991,1991,,5163,5163,3352,1593,1257,,1811,1811,0,823,822,642,287,285,,180,180,
АЗС-233,012017,82.0,39.5,22.7,13.4,0.0,42.5,42.5,3673,3674,1882,1047,681,,1792,1792,0,560,560,287,160,104,,273,273,0,3113,3113,1595,888,577,,1518,1518,,2751,2751,1337,756,470,,1414,1414,0,362,361,257,131,108,,104,104,
АЗС-235,012017,71.3,39.1,28.4,8.3,0.0,32.1,32.1,3185,3175,1817,1291,414,,1358,1358,10,486,484,277,197,63,,207,207,2,2699,2691,1540,1094,351,,1151,1151,9,2373,2366,1313,941,290,,1053,1053,7,326,325,227,153,61,,98,98,2
АЗС-237,012017,336.9,206.5,114.5,79.2,0.0,130.3,130.3,15889,15455,9901,5298,4022,,5554,5554,434,2423,2357,1510,808,614,,847,847,65,13466,13098,8391,4490,3409,,4707,4707,369,11662,11359,7030,3816,2790,,4329,4329,302,1804,1737,1360,674,619,,377,377,67
АЗС-238,012017,226.9,132.7,77.3,48.3,0.7,94.2,94.2,10927,10416,6372,3585,2451,41,4044,4044,511,1665,1589,972,547,374,6,617,617,76,9262,8827,5400,3038,2077,34,3427,3427,435,7993,7639,4513,2573,1699,29,3126,3126,353,1269,1187,887,465,378,5,300,300,81
АЗС-239,012017,210.9,129.3,73.0,48.3,0.0,81.6,81.6,10072,9674,6163,3364,2441,,3511,3511,397,1536,1476,940,513,372,,536,536,60,8536,8199,5223,2851,2068,,2976,2976,337,7375,7103,4397,2432,1702,,2706,2706,271,1162,1096,826,419,366,,270,270,66
АЗС-243,012017,191.9,123.5,73.8,46.0,0.0,68.4,68.4,9199,8846,5911,3423,2320,,2935,2935,353,1403,1350,902,522,354,,448,448,53,7796,7496,5009,2901,1966,,2487,2487,300,6708,6459,4198,2458,1619,,2261,2261,249,1088,1037,811,443,347,,226,226,51
АЗС-245,012017,379.1,120.6,60.4,56.6,2.4,258.5,258.5,17602,16931,5832,2795,2843,145,11099,11099,671,2682,2583,890,426,434,22,1693,1693,99,14920,14348,4942,2369,2409,122,9406,9406,572,13176,12734,4144,2011,1993,103,8590,8590,442,1744,1614,798,357,416,20,816,816,130
АЗС-247,012017,78.8,65.0,36.2,28.8,0.0,13.7,13.7,3727,3727,3133,1675,1458,,594,594,0,569,569,478,256,222,,91,91,0,3159,3159,2655,1419,1235,,504,504,,2660,2661,2217,1204,1013,,444,444,0,498,498,438,216,223,,60,60,
АЗС-248,012017,134.4,65.4,28.8,34.0,1.3,69.1,69.1,6626,6125,3183,1333,1719,75,2942,2942,500,1008,935,486,203,262,11,449,449,74,5617,5192,2698,1129,1457,63,2494,2494,426,4820,4496,2248,956,1196,53,2248,2248,324,798,695,450,173,261,10,245,245,102
АЗС-249,012017,96.5,45.5,32.7,10.3,0.0,51.0,51.0,4412,4388,2149,1514,520,,2239,2239,24,673,669,328,231,79,,341,341,4,3739,3718,1821,1283,441,,1897,1897,21,3242,3227,1533,1087,362,,1694,1694,16,497,492,289,196,79,,203,203,5
АЗС-262,012017,46.1,30.9,17.3,13.6,0.0,15.2,15.2,2121,2121,1478,794,685,,643,643,0,324,323,225,121,104,,98,98,0,1798,1798,1253,673,580,,545,545,,1549,1549,1054,575,480,,495,495,0,249,248,198,98,100,,50,50,
АЗС-263,012017,104.1,72.3,35.4,36.9,0.0,31.8,31.8,5300,4892,3498,1641,1856,,1394,1394,408,807,747,534,250,283,,213,213,60,4494,4146,2964,1391,1573,,1182,1182,348,3778,3519,2472,1175,1297,,1047,1047,260,715,627,492,216,276,,135,135,88
