Заправки,период,Объем реализации - собственный,бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,Выручка от реализации - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Налоги в выручке - НДС,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Выручка без налогов и бонусов,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Покупная стоимость - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары,Валовой доход - всего,нефтепродукты,    - бензин,   автобензин А92/93,   автобензин А95/96,   автобензин А98,    - дизельное топливо,     дизельное топливо зимнее,сопутствующие товары
АЗС-228,032017,298.1,125.9,75.4,50.5,0.0,172.2,172.2,13771,13749,6086,3503,2583,,7663,7663,22,2101,2097,928,534,394,,1169,1169,3,11670,11652,5158,2969,2189,,6494,6494,18,10220,10147,4398,2604,1794,,5749,5749,74,1450,1506,760,365,395,,746,746,-55
АЗС-229,032017,143.3,118.5,75.7,34.1,0.0,24.9,24.9,6861,6847,5718,3557,1756,,1129,1129,14,1047,1044,872,543,268,,172,172,2,5814,5803,4846,3014,1488,,957,957,12,4976,4954,4124,2618,1213,,830,830,21,839,848,722,396,275,,126,126,-10
АЗС-230,032017,531.6,298.3,173.1,119.2,0.0,233.3,233.3,25617,24960,14523,8096,6143,,10437,10437,657,3905,3807,2215,1235,937,,1592,1592,98,21712,21152,12307,6861,5206,,8845,8845,560,18718,18210,10424,5985,4235,,7786,7786,508,2994,2942,1883,877,971,,1059,1059,52
АЗС-231,032017,396.3,221.2,132.6,82.4,0.6,175.1,175.1,19035,18593,10746,6210,4241,33,7847,7847,442,2902,2836,1639,947,647,5,1197,1197,66,16132,15757,9107,5263,3594,28,6650,6650,376,13921,13568,7723,4585,2925,23,5845,5845,352,2212,2188,1383,677,669,4,805,805,24
АЗС-232,032017,173.1,110.3,55.2,41.5,0.0,62.8,62.8,8156,8156,5345,2592,2133,,2811,2811,0,1244,1244,815,395,325,,429,429,0,6912,6912,4530,2197,1807,,2382,2382,,5936,5936,3837,1903,1472,,2099,2099,0,976,976,693,294,336,,283,283,
АЗС-233,032017,93.1,46.1,26.0,14.5,0.0,47.1,47.1,4278,4277,2211,1213,743,,2066,2066,0,653,652,337,185,113,,315,315,0,3625,3625,1874,1028,629,,1751,1751,,3164,3165,1590,891,511,,1575,1575,0,461,460,284,137,118,,176,176,
АЗС-235,032017,72.8,39.9,30.9,6.8,0.0,32.9,32.9,3341,3324,1869,1421,343,,1455,1455,16,510,507,285,217,52,,222,222,3,2831,2817,1584,1204,291,,1233,1233,14,2492,2474,1375,1061,239,,1099,1099,17,339,343,209,143,51,,134,134,-3
АЗС-237,032017,365.3,229.7,125.1,91.0,0.0,135.6,135.6,17508,17098,11069,5814,4633,,6029,6029,410,2669,2608,1688,887,707,,920,920,61,14839,14490,9380,4927,3926,,5110,5110,348,12876,12547,8022,4328,3235,,4525,4525,330,1963,1944,1359,599,691,,585,585,19
АЗС-238,032017,281.0,152.7,89.9,53.9,0.7,128.3,128.3,13632,13101,7367,4193,2748,44,5734,5734,531,2078,1999,1124,640,419,7,875,875,79,11554,11102,6243,3554,2329,37,4859,4859,452,10022,9607,5325,3106,1913,31,4282,4282,415,1532,1496,918,448,416,6,578,578,37
АЗС-239,032017,234.7,132.9,73.9,51.6,0.0,101.8,101.8,11206,10883,6363,3417,2606,,4520,4520,323,1709,1661,971,521,398,,690,690,48,9497,9223,5392,2896,2208,,3831,3831,274,8298,8029,4631,2548,1833,,3398,3398,269,1199,1194,761,348,376,,433,433,5
АЗС-243,032017,220.9,128.3,80.3,43.0,0.0,92.6,92.6,10569,10247,6147,3742,2175,,4100,4100,321,1612,1563,938,571,332,,625,625,48,8957,8684,5209,3171,1843,,3475,3475,273,7833,7557,4465,2772,1526,,3092,3092,276,1124,1128,745,399,317,,383,383,-4
АЗС-245,032017,423.6,106.7,60.1,43.8,1.9,316.9,316.9,19916,19240,5159,2793,2216,110,14081,14081,676,3034,2935,787,426,338,17,2148,2148,99,16883,16305,4372,2367,1878,93,11933,11933,577,14815,14309,3738,2075,1555,78,10571,10571,506,2067,1996,634,292,323,15,1362,1362,71
АЗС-247,032017,89.5,71.1,41.7,29.5,0.0,18.4,18.4,4257,4257,3445,1944,1501,,812,812,0,649,650,526,297,229,,124,124,0,3608,3608,2920,1648,1272,,688,688,,3088,3088,2478,1434,1044,,610,610,0,520,520,442,214,228,,78,78,
АЗС-248,032017,134.4,53.4,25.9,25.7,0.6,81.0,81.0,6593,6221,2629,1224,1314,35,3592,3592,373,1004,949,401,187,200,5,548,548,55,5590,5272,2228,1037,1114,29,3044,3044,318,4836,4570,1864,888,910,25,2706,2706,267,753,701,364,149,203,5,337,337,51
АЗС-249,032017,104.4,49.3,36.7,9.7,0.0,55.1,55.1,4859,4822,2328,1706,490,,2494,2494,36,741,735,355,260,75,,380,380,6,4118,4087,1973,1446,415,,2114,2114,31,3582,3543,1700,1262,343,,1843,1843,39,535,544,273,184,72,,271,271,-9
АЗС-262,032017,65.5,39.9,22.6,17.3,0.0,25.6,25.6,3058,3058,1931,1052,879,,1127,1127,0,466,467,295,160,134,,172,172,0,2592,2591,1636,891,745,,955,955,,2251,2251,1394,780,614,,857,857,0,341,341,242,111,131,,99,99,
АЗС-263,032017,128.6,77.1,39.7,37.4,0.0,51.5,51.5,6497,6101,3785,1872,1913,,2316,2316,396,989,930,577,286,292,,353,353,58,5509,5171,3208,1587,1621,,1963,1963,338,4691,4413,2694,1367,1327,,1719,1719,278,817,758,514,219,295,,244,244,60
АЗС-264,032017,461.6,170.0,99.3,70.7,0.0,291.6,291.6,21655,20988,8150,4599,3550,,12838,12838,667,3297,3201,1243,702,542,,1958,1958,96,18358,17786,6906,3898,3009,,10880,10880,572,16201,15673,5937,3427,2510,,9736,9736,527,2158,2113,969,470,499,,1144,1144,44
АЗС-265,032017,375.9,314.6,145.3,161.5,2.4,61.3,61.3,18369,18184,15383,6819,8171,139,2801,2801,185,2802,2774,2347,1040,1246,21,427,427,28,15568,15411,13037,5779,6925,118,2374,2374,157,13238,13095,11047,5022,5741,102,2048,2048,143,2329,2315,1990,757,1184,17,325,325,14
АЗС-5,032017,307.8,252.3,88.8,163.5,0.0,55.5,55.5,15016,15011,12506,4169,8337,,2505,2505,5,2291,2290,1908,636,1272,,382,382,1,12725,12721,10598,3533,7065,,2123,2123,4,10747,10732,8875,3065,5810,,1857,1857,15,1978,1989,1723,468,1255,,266,266,-11
АЗСМ-12,032017,137.3,113.6,34.1,79.6,0.0,23.6,23.6,6798,6773,5700,1613,4087,,1073,1073,24,1037,1033,869,246,623,,164,164,4,5761,5741,4831,1367,3464,,910,910,21,4815,4794,4004,1175,2829,,790,790,20,946,946,827,191,635,,119,119,0
КАЗС-2,032017,110.1,110.1,62.1,48.1,0.0,0.0,0.0,5274,5274,5274,2870,2404,,,,0,804,804,804,438,367,,,,0,4469,4469,4469,2432,2037,,,,,3853,3853,3853,2145,1708,,,,0,617,617,617,287,329,,,,
АЗC-200,042017,272.2,223.9,91.8,132.1,0.0,48.3,17.9,13701,13293,11090,4369,6721,,2203,,409,2089,2028,1692,666,1025,,336,,62,11612,11265,9398,3702,5696,,1867,,347,9762,9437,7880,3181,4699,,1557,576,325,1850,1827,1518,521,997,,309,-576,23
АЗК-1,042017,958.6,787.3,236.5,537.0,13.8,171.3,38.6,48524,47265,39557,11286,27456,814,7708,,1259,7398,7210,6034,1722,4188,124,1176,,188,41127,40055,33523,9565,23268,690,6532,,1072,34349,33395,27883,8193,19099,591,5512,1242,954,6778,6661,5640,1372,4169,99,1021,-1242,118
АЗК-10,042017,1045.0,911.4,312.9,587.2,11.3,133.6,37.2,52351,51256,45275,14722,29882,671,5981,,1096,7982,7818,6906,2246,4558,102,912,,164,44369,43438,38369,12477,25323,569,5069,,932,37371,36547,32235,10854,20893,488,4312,1200,825,6998,6891,6134,1623,4430,80,757,-1200,107
АЗК-11,042017,304.9,208.7,83.9,115.5,5.6,96.3,27.4,15170,14668,10409,3967,5941,333,4259,,501,2312,2238,1588,605,906,51,650,,74,12858,12431,8821,3362,5035,282,3610,,427,10875,10478,7377,2906,4109,239,3101,883,397,1983,1954,1445,456,926,42,509,-883,30
АЗК-13,042017,394.0,285.6,125.2,157.3,3.1,108.4,30.8,19832,19028,14202,5915,8106,181,4826,,804,3022,2902,2166,902,1236,28,736,,120,16810,16125,12035,5013,6869,153,4090,,684,14168,13564,10065,4338,5596,131,3499,994,605,2642,2562,1971,675,1273,22,591,-994,80
АЗК-14,042017,366.1,256.6,90.5,160.5,5.7,109.5,39.2,18595,17781,12868,4277,8256,335,4913,,814,2832,2712,1963,652,1259,51,749,,120,15763,15069,10905,3625,6997,284,4164,,694,13250,12612,9074,3130,5703,242,3538,1267,638,2513,2457,1831,495,1294,42,626,-1267,56
АЗК-15,042017,332.1,138.3,49.7,88.6,0.0,193.8,41.5,16481,15423,6906,2351,4555,,8517,,1057,2510,2353,1054,359,695,,1299,,157,13971,13071,5853,1992,3860,,7218,,900,11899,11105,4869,1719,3150,,6236,1337,794,2072,1966,984,273,711,,982,-1337,107
АЗК-16,042017,129.1,37.2,17.0,19.7,0.4,91.9,38.5,6083,5872,1840,807,1007,25,4032,,211,926,896,281,123,154,4,615,,30,5158,4976,1559,684,854,21,3417,,181,4447,4278,1296,578,700,18,2982,1251,169,711,698,263,106,154,3,435,-1251,13
АЗК-17,042017,255.8,150.9,59.6,89.8,1.5,104.8,46.5,12652,12173,7534,2813,4632,89,4639,,480,1926,1857,1149,429,707,14,708,,70,10726,10315,6384,2384,3926,75,3931,,410,9080,8717,5318,2062,3192,64,3399,1507,363,1646,1598,1066,322,733,11,532,-1507,48
АЗК-18,042017,460.1,361.7,132.6,229.0,0.0,98.5,21.9,23324,22412,18001,6239,11762,,4411,,913,3554,3419,2746,952,1794,,673,,135,19771,18993,15255,5288,9967,,3738,,778,16637,15915,12744,4597,8147,,3171,704,723,3134,3079,2512,691,1820,,567,-704,55
АЗК-19,042017,454.3,358.2,110.4,226.8,9.3,96.1,32.0,23866,22397,18088,5274,11726,550,4309,,1469,3633,3416,2759,805,1789,84,657,,216,20233,18980,15328,4470,9937,466,3652,,1253,16908,15789,12684,3820,8067,398,3105,1033,1119,3326,3191,2644,650,1871,69,547,-1033,134
АЗК-2,042017,1154.0,932.5,224.2,660.4,47.9,221.5,67.7,59616,57434,47319,10662,33830,2827,10115,,2182,9086,8761,7218,1626,5160,431,1543,,325,50530,48673,40101,9036,28669,2396,8572,,1858,42014,40489,33335,7769,23495,2072,7154,2186,1524,8517,8183,6765,1267,5174,324,1418,-2186,334
АЗК-20,042017,427.0,280.7,119.4,157.9,3.3,146.3,48.7,21524,20621,14063,5713,8154,196,6558,,903,3278,3145,2145,871,1244,30,1000,,133,18246,17475,11918,4841,6910,166,5557,,770,15272,14623,9895,4137,5617,141,4728,1572,648,2974,2852,2023,704,1293,25,829,-1572,123
АЗК-22,042017,549.9,329.3,141.5,184.6,3.1,220.7,46.5,27148,26011,16225,6645,9395,185,9786,,1137,4136,3968,2475,1014,1433,28,1493,,169,23012,22043,13750,5631,7962,157,8293,,969,19536,18697,11602,4904,6565,133,7095,1495,839,3476,3347,2149,728,1397,24,1198,-1495,129
АЗК-23,042017,420.3,342.6,98.3,233.3,11.0,77.7,35.4,21628,20892,17370,4706,12013,651,3522,,736,3296,3187,2650,718,1832,99,537,,110,18331,17705,14720,3988,10180,552,2985,,626,15232,14693,12173,3403,8298,472,2520,1148,538,3100,3012,2547,585,1883,79,465,-1148,88
АЗК-24,042017,298.7,212.8,82.4,123.1,4.6,85.8,37.4,15856,14566,10719,3935,6380,274,3847,,1290,2412,2222,1635,600,973,42,587,,190,13444,12344,9084,3335,5407,232,3260,,1100,11230,10282,7517,2849,4377,199,2765,1205,948,2214,2063,1567,486,1030,34,496,-1205,152
АЗК-25,042017,330.2,243.0,93.0,145.6,4.3,87.2,27.9,17117,16137,12193,4421,7516,256,3944,,979,2606,2462,1860,674,1146,39,602,,144,14511,13676,10333,3746,6369,217,3343,,835,12138,11402,8581,3220,5177,185,2821,901,736,2373,2274,1752,526,1193,33,522,-901,100
АЗК-26,042017,212.4,142.0,61.3,78.6,2.1,70.4,22.1,11131,10216,7059,2889,4048,122,3157,,915,1690,1559,1077,441,618,19,482,,132,9441,8657,5982,2448,3431,103,2675,,783,7917,7276,5002,2120,2795,88,2274,713,641,1524,1382,980,328,636,16,402,-713,142
АЗК-27,042017,336.6,225.0,76.4,146.5,2.1,111.5,33.4,16591,16055,11109,3587,7394,127,4946,,536,2529,2449,1695,547,1128,19,754,,80,14061,13605,9414,3040,6266,108,4191,,456,11975,11551,7943,2644,5207,92,3608,1081,424,2087,2055,1471,396,1059,16,584,-1081,32
АЗК-28,042017,239.8,137.2,52.2,82.9,2.1,102.6,39.9,12374,11353,6804,2471,4211,122,4549,,1020,1882,1732,1038,377,642,19,694,,150,10492,9621,5766,2094,3569,104,3855,,870,8927,8159,4835,1802,2946,88,3324,1293,767,1565,1462,931,292,623,16,531,-1293,103
АЗК-29,042017,134.3,58.0,25.1,32.1,0.0,76.3,29.1,6536,6202,2832,1171,1625,,3370,,334,995,946,432,179,248,,514,,48,5542,5256,2400,992,1377,,2856,,286,4759,4505,2036,869,1142,,2469,942,254,782,750,363,124,235,,387,-942,32
АЗК-3,042017,1011.0,673.8,218.4,443.1,7.1,337.2,79.6,49381,48376,33482,10336,22483,421,14894,,1005,7529,7379,5107,1577,3430,64,2272,,149,41852,40996,28374,8759,19053,357,12622,,856,35422,34653,23809,7574,15760,302,10844,2560,769,6430,6343,4565,1185,3293,55,1778,-2560,87
АЗК-30,042017,256.0,169.2,64.0,102.6,2.6,86.8,31.2,13138,12416,8507,3054,5299,155,3909,,722,2001,1894,1298,466,808,24,596,,107,11137,10523,7210,2588,4491,131,3313,,615,9329,8781,5970,2214,3647,110,2811,1010,549,1808,1742,1240,374,844,22,502,-1010,66
АЗК-31,042017,217.3,178.7,60.1,115.4,3.2,38.5,29.5,11079,10621,8873,2799,5881,192,1748,,459,1688,1620,1353,427,897,29,267,,68,9391,9000,7519,2372,4984,163,1481,,391,7926,7574,6319,2079,4103,138,1255,960,351,1466,1426,1200,293,881,25,226,-960,40
АЗК-32,042017,192.5,125.2,62.7,62.6,0.0,67.3,19.5,9915,9118,6104,2937,3167,,3014,,798,1505,1391,931,448,483,,460,,114,8410,7727,5173,2489,2684,,2554,,684,7065,6564,4396,2172,2224,,2168,629,502,1346,1163,777,317,460,,386,-629,182
АЗК-33,042017,103.4,41.4,29.0,12.5,0.0,62.0,27.5,5060,4788,2028,1376,651,,2760,,272,770,730,309,210,99,,421,,39,4290,4057,1718,1166,552,,2339,,233,3652,3455,1436,994,442,,2019,896,198,638,602,282,173,110,,320,-896,35
АЗК-4,042017,740.9,421.5,159.5,249.9,8.6,319.5,95.5,36436,35232,21094,7544,12881,511,14138,,1203,5553,5375,3218,1151,1965,78,2157,,178,30883,29859,17877,6394,10916,433,11982,,1025,26101,25201,14888,5519,8887,370,10313,3082,900,4782,4657,2989,875,2029,63,1668,-3082,125
АЗК-6,042017,235.9,67.7,29.4,37.9,0.5,168.1,51.6,11212,10746,3361,1398,1935,28,7385,,466,1707,1640,513,213,295,4,1127,,68,9505,9107,2848,1185,1640,23,6259,,398,8158,7807,2378,1014,1344,20,5429,1665,351,1346,1300,470,171,296,4,830,-1665,47
АЗК-7,042017,744.6,596.7,211.9,371.7,13.1,147.9,37.5,37965,36369,29690,10015,18897,777,6679,,1596,5787,5548,4529,1528,2883,119,1019,,239,32178,30821,25161,8488,16015,659,5660,,1357,27086,25906,21127,7341,13221,564,4779,1213,1181,5092,4916,4034,1147,2793,94,882,-1213,176
АЗК-8,042017,510.8,440.3,117.9,311.1,8.6,70.5,31.7,25972,25391,22198,5623,15939,512,3193,,581,3960,3873,3386,858,2431,78,487,,87,22012,21518,18812,4765,13508,434,2706,,494,18371,17894,15609,4086,11063,370,2285,1029,478,3640,3624,3203,679,2444,63,421,-1029,16
АЗК-9,042017,364.1,275.2,114.6,154.0,4.1,88.9,41.1,18369,17673,13660,5381,7921,241,4013,,696,2799,2696,2084,821,1208,37,612,,103,15571,14977,11576,4560,6712,204,3401,,593,13101,12578,9696,3965,5474,173,2882,1331,523,2470,2399,1880,594,1238,32,519,-1331,70
АЗС-201,042017,160.7,133.3,60.0,71.9,0.0,27.4,13.1,8123,7811,6552,2820,3669,,1259,,311,1238,1192,1000,430,560,,192,,47,6885,6620,5553,2390,3110,,1067,,265,5830,5570,4681,2080,2557,,889,426,259,1055,1049,871,310,553,,178,-426,5
АЗС-21,042017,327.0,240.9,98.4,142.5,0.0,86.1,20.5,16469,15762,11909,4653,7256,,3853,,707,2511,2405,1817,710,1107,,588,,107,13958,13358,10093,3943,6149,,3265,,601,11811,11251,8478,3411,5067,,2773,659,560,2147,2107,1615,533,1082,,492,-659,40
АЗС-212,042017,327.2,207.8,98.3,104.5,1.4,119.4,51.5,16531,15445,10149,4620,5277,83,5296,,1085,2512,2356,1548,705,805,13,808,,156,14019,13089,8601,3915,4472,70,4488,,929,11927,11149,7301,3404,3714,60,3848,1660,778,2091,1940,1300,511,758,10,640,-1660,151
АЗС-213,042017,351.8,251.7,130.0,119.7,2.0,100.1,30.0,17062,16604,12201,6029,6055,117,4403,,459,2602,2533,1861,920,924,18,672,,69,14460,14071,10339,5109,5131,99,3732,,389,12484,12069,8850,4509,4257,84,3219,964,415,1976,2002,1489,600,874,15,513,-964,-26
АЗС-214,042017,459.7,314.6,177.4,132.3,0.0,145.0,43.0,22196,21566,15181,8242,6711,,6385,,630,3384,3290,2316,1257,1024,,974,,94,18812,18276,12865,6984,5688,,5411,,536,16201,15685,11023,6153,4707,,4662,1382,517,2611,2592,1842,832,980,,750,-1382,19
АЗС-217,042017,378.3,232.5,119.1,105.2,0.0,145.8,25.7,18968,18008,11385,5630,5371,,6623,,960,2889,2747,1737,859,819,,1010,,141,16080,15261,9648,4771,4552,,5613,,819,13539,12832,8149,4130,3743,,4683,826,707,2540,2429,1499,641,808,,930,-826,111
АЗС-219,042017,219.1,151.7,98.1,46.4,0.0,67.4,37.9,10690,10372,7280,4593,2351,,3092,,318,1630,1583,1111,701,359,,472,,48,9060,8790,6170,3892,1992,,2620,,270,7758,7466,5291,3401,1649,,2175,1225,291,1302,1323,878,492,343,,445,-1225,-21
АЗС-220,042017,291.2,180.7,109.4,67.2,0.0,110.5,52.3,14159,13750,8729,5126,3414,,5021,,410,2158,2098,1332,782,521,,766,,60,12002,11652,7397,4344,2893,,4255,,349,10210,9878,6321,3795,2390,,3557,1685,332,1792,1775,1077,550,503,,698,-1685,17
АЗС-221,042017,69.6,40.1,29.8,5.5,0.0,29.5,29.5,3234,3218,1897,1392,282,,1321,,17,493,491,289,212,43,,202,,3,2741,2727,1607,1180,239,,1120,,14,2378,2348,1385,1030,195,,963,963,30,363,379,222,150,44,,157,-963,-16
АЗС-222,042017,127.9,100.1,66.1,34.1,0.0,27.8,24.2,6377,6117,4842,3106,1737,,1275,,260,972,933,739,474,265,,194,,39,5405,5185,4104,2632,1472,,1081,,221,4608,4400,3494,2284,1210,,906,790,208,797,784,609,348,262,,175,-790,13
АЗС-223,042017,196.6,144.5,94.2,49.9,0.5,52.1,26.2,9757,9289,6946,4381,2537,28,2343,,468,1487,1417,1060,668,387,4,357,,70,8270,7871,5886,3713,2150,24,1985,,398,7109,6748,5057,3264,1773,20,1691,849,361,1162,1123,829,449,377,3,294,-849,38
АЗС-224,042017,214.4,163.8,92.3,58.2,0.7,50.6,38.6,10538,10175,7897,4315,2956,40,2278,,363,1605,1553,1205,658,451,6,348,,53,8933,8623,6692,3657,2505,34,1931,,310,7678,7374,5730,3199,2071,28,1644,1256,304,1255,1249,962,458,434,5,287,-1256,6
АЗС-225,042017,63.0,51.3,40.9,10.3,0.0,11.8,7.2,3035,2965,2439,1914,525,,526,,70,463,452,372,292,80,,80,,11,2572,2512,2067,1622,445,,445,,60,2227,2163,1783,1417,365,,380,233,65,345,350,285,205,80,,65,-233,-5
АЗС-227,042017,427.3,321.0,182.4,129.8,1.3,106.3,32.0,20943,20249,15574,8553,6591,77,4675,,694,3192,3089,2376,1305,1005,12,713,,103,17751,17160,13198,7248,5586,65,3962,,591,15226,14671,11255,6325,4617,55,3416,1027,555,2526,2489,1943,923,968,10,546,-1027,36
АЗС-228,042017,283.2,135.6,80.2,55.5,0.0,147.5,63.6,13150,13124,6588,3735,2853,,6536,,26,2006,2002,1005,570,435,,997,,4,11144,11122,5583,3165,2418,,5539,,22,9570,9509,4752,2780,1973,,4757,2051,60,1574,1612,830,385,445,,782,-2051,-38
АЗС-229,042017,136.2,115.1,75.4,33.2,0.0,21.0,16.1,6561,6550,5588,3561,1723,,962,,11,1001,999,852,543,263,,147,,2,5560,5551,4736,3018,1460,,815,,9,4729,4702,4017,2615,1183,,685,525,27,831,848,718,403,277,,130,-525,-18
АЗС-230,042017,530.1,314.4,181.2,127.1,0.0,215.7,74.8,25689,24991,15398,8525,6589,,9593,,698,3915,3812,2349,1300,1005,,1463,,103,21774,21178,13049,7225,5584,,8129,,595,18492,17941,11011,6286,4521,,6930,2404,551,3282,3238,2039,939,1063,,1199,-2404,44
АЗС-231,042017,360.8,223.8,131.3,86.5,0.8,136.9,46.1,17496,17068,10956,6182,4480,46,6112,,428,2668,2603,1671,943,683,7,932,,64,14829,14464,9284,5239,3797,39,5180,,364,12595,12243,7839,4553,3077,33,4404,1482,351,2234,2220,1445,686,720,6,775,-1482,14
АЗС-232,042017,166.5,104.0,54.6,41.8,0.0,62.4,29.3,7877,7878,5087,2575,2164,,2791,,0,1202,1202,776,393,330,,426,,0,6676,6676,4311,2182,1834,,2365,,,5646,5647,3638,1893,1488,,2009,943,0,1029,1029,673,289,346,,356,-943,
АЗС-233,042017,90.6,51.4,25.6,15.0,0.0,39.2,23.4,4202,4203,2465,1202,776,,1738,,0,641,641,376,183,118,,265,,0,3561,3561,2089,1019,658,,1472,,,3053,3053,1784,886,531,,1269,760,0,508,508,305,133,126,,203,-760,
АЗС-235,042017,45.8,37.8,28.4,7.3,0.0,8.0,8.0,2166,2148,1787,1320,371,,361,,18,330,328,273,201,57,,55,,3,1836,1820,1514,1119,314,,306,,15,1594,1575,1309,983,257,,266,266,18,242,245,205,136,57,,40,-266,-3
АЗС-237,042017,321.9,229.1,123.2,93.9,0.0,92.8,22.4,15672,15258,11132,5771,4814,,4126,,414,2389,2327,1698,880,734,,629,,62,13282,12931,9434,4890,4079,,3497,,352,11351,11007,8023,4274,3340,,2984,720,344,1931,1924,1411,616,740,,513,-720,8
АЗС-238,042017,223.7,158.4,91.8,60.7,0.6,65.3,22.7,11163,10623,7701,4308,3110,34,2922,,540,1700,1621,1175,657,474,5,446,,80,9462,9003,6526,3651,2636,29,2477,,460,8062,7649,5547,3182,2159,24,2102,732,413,1400,1354,979,469,477,5,375,-732,47
АЗС-239,042017,212.0,132.8,73.4,54.0,0.0,79.2,19.3,10230,9903,6406,3426,2735,,3497,,327,1560,1510,977,523,417,,533,,49,8670,8392,5429,2903,2318,,2963,,277,7478,7205,4647,2545,1920,,2558,623,272,1192,1187,782,358,398,,405,-623,5
АЗС-243,042017,186.0,125.4,76.2,45.3,0.0,60.6,41.4,9079,8767,6053,3574,2301,,2714,,311,1384,1337,923,545,351,,414,,47,7694,7430,5130,3028,1950,,2300,,264,6603,6333,4382,2641,1612,,1951,1333,270,1091,1098,748,387,338,,350,-1333,-6
АЗС-245,042017,350.9,122.0,66.3,53.1,1.7,229.0,105.4,16769,16117,5930,3096,2696,99,10187,,652,2553,2459,905,472,411,15,1554,,94,14216,13659,5026,2624,2285,84,8633,,557,12128,11647,4287,2297,1890,72,7360,3387,481,2088,2011,738,327,395,12,1273,-3387,77
АЗС-247,042017,87.1,75.8,43.2,32.6,0.0,11.3,11.3,4199,4199,3692,2026,1666,,507,,0,641,640,563,309,254,,77,,0,3558,3559,3129,1717,1411,,430,,,3025,3025,2656,1498,1158,,369,369,0,534,534,473,219,253,,61,-369,
АЗС-248,042017,123.0,60.9,28.3,30.9,0.5,62.1,35.3,6145,5784,3019,1342,1590,30,2765,,361,935,883,461,205,243,5,422,,53,5210,4902,2559,1137,1347,26,2343,,309,4422,4162,2139,978,1098,22,2023,1149,260,788,739,419,159,249,4,320,-1149,49
АЗС-249,042017,71.5,44.3,32.5,9.4,0.0,27.2,26.1,3358,3339,2104,1515,475,,1235,,20,512,509,321,231,72,,188,,3,2846,2829,1783,1284,403,,1046,,17,2448,2420,1537,1124,332,,883,846,28,398,409,246,160,71,,163,-846,-11
АЗС-262,042017,57.6,40.1,23.0,17.1,0.0,17.5,11.3,2730,2730,1947,1078,870,,783,,0,416,416,297,164,133,,119,,0,2313,2313,1650,913,737,,663,,,1977,1977,1405,797,609,,572,370,0,336,336,245,117,128,,91,-370,
АЗС-263,042017,129.8,87.5,46.5,41.0,0.0,42.3,18.7,6647,6229,4318,2205,2113,,1911,,417,1011,951,659,336,322,,292,,61,5635,5280,3660,1869,1791,,1620,,356,4744,4437,3070,1611,1459,,1367,603,307,892,843,590,258,332,,253,-603,48
АЗС-264,042017,436.0,159.5,90.9,68.6,0.0,276.6,41.9,20528,19862,7721,4249,3472,,12141,,666,3125,3030,1178,648,530,,1852,,95,17403,16832,6543,3601,2943,,10289,,571,15031,14481,5592,3151,2440,,8889,1345,551,2372,2351,951,449,502,,1400,-1345,20
АЗС-265,042017,376.6,316.9,146.8,161.5,2.8,59.7,12.1,18510,18333,15612,6946,8227,167,2721,,177,2823,2797,2382,1060,1255,25,415,,27,15687,15537,13231,5887,6972,141,2306,,150,13223,13067,11150,5090,5743,121,1917,388,156,2464,2470,2081,796,1228,20,389,-388,-6
АЗС-5,042017,317.6,260.1,93.7,166.3,0.0,57.6,16.5,15525,15521,12947,4424,8523,,2574,,4,2368,2368,1975,675,1300,,393,,1,13157,13154,10972,3749,7223,,2182,,3,11049,11028,9167,3250,5917,,1861,533,21,2108,2125,1805,499,1306,,320,-533,-18
АЗСМ-12,042017,143.4,115.5,34.2,81.3,0.0,27.9,5.6,7107,7089,5834,1634,4200,,1255,,19,1084,1081,890,249,641,,191,,3,6023,6008,4944,1384,3559,,1064,,16,5002,4979,4078,1186,2892,,901,180,24,1021,1029,866,198,668,,163,-180,-8
КАЗС-2,042017,108.3,108.3,60.2,48.1,0.0,0.0,0.0,5241,5241,5241,2814,2427,,,,0,799,799,799,429,370,,,,0,4441,4441,4441,2384,2057,,,,,3799,3799,3799,2086,1713,,,,0,643,643,643,298,344,,,,
АЗC-200,052017,308.6,256.9,107.3,149.6,0.0,51.7,0.0,15729,15209,12864,5163,7701,,2345,,520,2398,2320,1962,788,1175,,358,,78,13331,12889,10902,4375,6526,,1987,,442,11134,10783,9153,3721,5433,,1630,,350,2197,2105,1748,655,1094,,357,,92
АЗК-1,052017,984.9,815.6,241.6,557.8,16.2,169.3,0.0,50237,48832,41243,11614,28666,963,7589,,1405,7658,7449,6291,1772,4373,147,1158,,209,42579,41383,34952,9842,24293,816,6431,,1197,35587,34640,29315,8379,20236,700,5325,,947,6993,6743,5637,1464,4057,116,1106,,250
