реализация А98
0
10.3
8.8
5
2
4
0
0.4
2
0
8.6
36.4
2.4
2.9
7.6
3.2
3.4
1.7
1.9
2.2
0
6.1
1.9
2.2
0
0
6.9
0.4
8.8
8.8
3.7
0
0
1.1
1.7
0
0
0
0
0
0
0.5
0.6
0
0.9
0
0
0
1.1
0
0
0
0
0.7
0
0
2.4
0
1.3
0
0
0
0
2.1
0
0
0
0
9.9
8.5
4.7
1.8
4.5
0
0.3
1.7
0
8
40.1
2
3.2
7.7
4.3
3.1
2
1.6
1.8
0
5.9
2.4
2.1
0
0
5.9
0.4
8.5
7.5
3.2
0
0
1
1.6
0
0
0
0
0
0
0.6
0.6
0
1.4
0
0
0
0.4
0
0
0
0
0.9
0
0
2.2
0
0.9
0
0
0
0
2.3
0
0
0
0
12.8
10.7
5.5
2.5
5.2
0
0.5
1.8
0
9.4
47
2.9
3.4
9.8
5.1
3.5
2.2
1.9
2
0
7.3
2.7
3.3
0
0
7.1
0.4
11.1
9.7
3.4
0
0
0.8
2
0
0
0
0
0
0
0.4
0.9
0
1.2
0
0
0
0.6
0
0
0
0
0.7
0
0
1.9
0
0.6
0
0
0
0
2.4
0
0
0
0
13.8
11.3
5.6
3.1
5.7
0
0.4
1.5
0
9.3
47.9
3.3
3.1
11
4.6
4.3
2.1
2.1
2.1
0
7.1
2.6
3.2
0
0
8.6
0.5
13.1
8.6
4.1
0
0
1.4
2
0
0
0
0
0
0
0.5
0.7
0
1.3
0
0
0
0.8
0
0
0
0
0.6
0
0
1.7
0
0.5
0
0
0
0
2.8
0
0
0
0
16.2
12.5
5.7
3.7
7
0
1.1
2.7
0
10.9
52.7
3.9
4.4
11.6
5.2
5.2
2.8
2.4
3.7
0
9
3.3
4.5
0
0
9
0.9
13.3
11.7
5.2
0
0
1.9
2
0
0
0
0
0
0
0.5
1.1
0
1.7
0
0
0
1.7
0
0
0
0
1.3
0
0
2.7
0
1.9
0
0
0
0
3.2
0
0
0
0
14.5
13.8
5.9
4.3
8
0
0.8
2.3
0
11.3
48.1
4
4.5
11.1
4.9
5.6
2.4
2.9
3.8
0
9.3
3.1
4.7
0
0
8.4
1.5
13.4
9.4
4.9
0
0
2.1
2.6
0
0
0
0
0
0
0.5
1
0
1.7
0
0
0
2.2
0
0
0
0
1.2
0
0
3.5
0
2.3
0
0
0
0
2.9
0
0
0
0
13.8
11.8
5.9
5.1
10.3
0
1.2
2.8
0
10.3
47.5
4.4
4.2
9.5
4.2
5.9
2.6
1.8
2.8
0
10.4
3.5
3.4
0
0
9.8
1.5
12.4
11.1
6.2
0
0
3.7
3.2
0
0
0
0
0
0
0.8
1.6
0
1.8
0
0
0
2.3
0
0
0
0
1.4
0
0
3.7
0
2.2
0
0
0
0
3.9
0
0
0
0
13.5
11.8
5.7
3.9
9.4
0
1.1
3.1
0
13.1
47
4.5
4
9.6
4.4
5.8
2.7
2.5
3
0
8.7
3.8
3.3
0
0
8.7
1.1
12.9
9.7
6.2
0
0
3.2
2.7
0
0
0
0
0
0
0.6
1.4
0
1.8
0
0
0
1.5
0
0
0
0
1.7
0
0
3.6
0
2.1
0
0
0
0
3.4
0
0
0
0
12.3
11.5
4.7
2.9
7.6
0
0.6
2.5
0
9.8
47.9
3.3
3.6
9.4
4
5.5
2.9
2.4
2.9
0
7.2
2.8
3
0
0
9.2
0.7
12.4
8.6
5.4
0
0
3
3.3
0
0
0
0
0
0
0.8
1.4
0
1.7
0
0
0
1.5
0
0
0
0
1.4
0
0
3.4
0
1.4
0
0
0
0
3.5
0
0
0
